BRUTIS-CSV-RIB,Bestand nummer:,Inspectie bestandnaam:,Aantal inspecties:,Aantal waarnemingen:,Aantal beelden:,Inspectie bedrijf:
RES,0,6,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_091101027.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,6,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211125_091101027.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1015,0,0,0,7,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,7,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221203_150232601.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,7,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221203_150232601.jpg,,,0              ,0unknown       ,,,good                                                        
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1018,0,0,0,8,20231102,0,3P,Photo and MH Repairing                                      
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,8,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211123_165321914.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
RES,0,8,0,0,0,0,0,Gen,e,r,a,1,files/MH Repairing_20211123_165321914.jpg,,,0              ,0unknown       ,,,Photo and MH Repairing                                      
BRUTIS-CSV-INS,Van knoopnr.:,Naar knoopnr.:,Leidingnr:,Bestand nummer:,Inspectienummer:,Datum [yyyymmdd}:,Tijd [hhmmss]:,Inspectie type:,Opmerkingen:
INS,1021,0,0,0,9,20231102,0,3P,good                                                        
BRUTIS-CSV-RES,Bestand nummer:,Inspectienummer:,vanuit knoop:,Axiale begin locatie:,Axiale eind locatie:,Radiale begin locatie:,Radiale eind locatie:,Toestandaspect code:,1e karakterisering:,2e karakterisering:,3e karakterisering:,Classificatie:,Foto naam:,Video naam:,Video positie:,1e Kwantificering:,2e Kwantificering:,status,Beoordeling:,Opmerkingen:
RES,0,9,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221204_144916125.jpg,,,0              ,0unknown       ,,,good                                                        
RES,0,9,0,0,0,0,0,Gen,e,r,a,1,MH SV_20221204_144916125.jpg,,,0              ,0unknown       ,,,good                                                        
